artist,title,text
taylor swift,love story taylor's version,
taylor swift,anti-hero,
taylor swift,lover,
taylor swift,blank space,
taylor swift,bejeweled,
taylor swift,you need to calm down,
taylor swift,all too wait taylor's version,
taylor swift,shake it off,
taylor swift,style,
taylor swift,i knew you were trouble taylor's version,
taylor swift,me,
taylor swift,wildes dreams,
taylor swift,lavender haze,
taylor swift,karma,
taylor swift,willow,
katy perry,one of the boys,
katy perry,i kissed a girl,
katy perry,thinking of you,
katy perry,mannequin,
katy perry,ur so gay,
katy perry,hot n coldd,
katy perry,if you can afford me,
katy perry,lost,
katy perry,self inflicted,
katy perry,i'm still breathing,
katy perry,fingerprints,
katy perry,smile,
katy perry,cry about it later,
katy perry,daisies,
katy perry,never really over,
abba,waterloo,
abba,mamma mia,
abba,dancing queen,
abba,i still have faith in you,
abba,when you danced with me,
abba,little things,
abba,take a chance on me,
abba,just a notion,
abba,i can be that woman,
abba,the winner take it all,
abba,super trouper,
abba,don't shut me down,
abba,voulez-vous,
abba,money money money,
abba,slipping through my fingers,
harry styles,as it was,
harry styles,late night talking,
harry styles,adore you,
harry styles,watermelon sugar,
harry styles,misic for a sushi restaurant,
harry styles,daylight,
harry styles,matilda,
harry styles,golden,
harry styles,sign of the times,
harry styles,satellite,
harry styles,love of my life,
harry styles,lights up,
harry styles,falling,
harry styles,kiwi,
harry styles,fine line,
louis tomlinson,bigger than me,
louis tomlinson,out of my system,
louis tomlinson,silver tongues,
louis tomlinson,written all over your face,
louis tomlinson,back to you,
louis tomlinson,always you,
louis tomlinson,miss you,
louis tomlinson,lucky again,
louis tomlinson,just hold on,
louis tomlinson,only the brave,
louis tomlinson,just like you,
louis tomlinson,chicago,
louis tomlinson,habit,
louis tomlinson,two of us,
louis tomlinson,don't let it break your heart,
ashe,moral of the story,
ashe,another man's jeans,
ashe,till forever falls apart,
ashe,i'm fine,
ashe,save myself,
ashe,taylor,
ashe,not mad anymore,
ashe,serial monogamist,
ashe,when i'm older,
ashe,love is not enough,
billie eilish,happier than ever,
billie eilish,everything i wanted,
billie eilish,bad guy,
billie eilish,getting older,
billie eilish,therefore i am,
billie eilish,when the party's over,
billie eilish,i didn't change my number,
billie eilish,bored,
billie eilish,my future,
billie eilish,ocean eyes,
billie eilish,no time to die,
billie eilish,lost cause,
billie eilish,lovely,
billie eilish,wish you were gay,
billie eilish,listen before i go,
one direction,what makes you beautiful,
one direction,best song ever,
one direction,steal my girl,
one direction,drag me down,
one direction,story of my life,
one direction,kiss you,
one direction,little things,
one direction,perfect,
one direction,history,
one direction,one thing,
one direction,they don't know about us,
one direction,one way or another,
one direction,midnight memories,
one direction,night changes,
one direction,no control,
miley cyrus,midnight sky,
miley cyrus,nothing breaks like a heart,
miley cyrus,prisoner,
miley cyrus,wrecking ball,
miley cyrus,plastic hearts,
miley cyrus,malibu,
miley cyrus,the climb,
miley cyrus,heart of glass,
miley cyrus,we can't stop,
miley cyrus,angels like you,
miley cyrus,party in the usa,
miley cyrus,slide away,
miley cyrus,when i look at you,
miley cyrus,adore you,
miley cyrus,see you again,
arctic monkeys,there'd better be a mirrorball,
arctic monkeys,body paint,
arctic monkeys,i wanna be yours,
arctic monkeys,505,
arctic monkeys,mardy bum,
arctic monkeys,why'd you only call me when you're high,
arctic monkeys,jet skis on the moat,
arctic monkeys,do i wanna know,
arctic monkeys,big ideas,
arctic monkeys,r u mine,
arctic monkeys,hello you,
arctic monkeys,snap out of it,
arctic monkeys,the car,
arctic monkeys,perfect sense,
arctic monkeys,four out of five,
adele,stranger by nature,
adele,easy on me,
adele,i drink wine,
adele,can i get it,
adele,to be loved,
adele,when we were young,
adele,someone like you,
adele,set fire to the rain,
adele,rolling in the deep,
adele,chasing pavements,
adele,hello,
adele,turning tables,
adele,water under the bridge,
adele,skyfall,
adele,rumor has it,
lil wayne,3 peat,
lil wayne,mr carter,
lil wayne,a milli,
lil wayne,got money,
lil wayne,phone home,
lil wayne,shoot me down,
lil wayne,tie my hand,
lil wayne,lollipop,
lil wayne,let the beat build,
lil wayne,mrs officer,
