artist,title,text
lil wayne,3 peat,
lil wayne,mr carter,
lil wayne,a milli,
lil wayne,got money,
lil wayne,phone home,
lil wayne,shoot me down,
lil wayne,tie my hand,
lil wayne,lollipop,
lil wayne,let the beat build,
lil wayne,mrs officer,
one direction,what makes you beautiful,
one direction,best song ever,
one direction,steal my girl,
one direction,drag me down,
one direction,story of my life,
one direction,kiss you,
one direction,little things,
one direction,perfect,
one direction,history,
one direction,one thing,
one direction,they don't know about us,
one direction,one way or another,
one direction,midnight memories,
one direction,night changes,
one direction,no control,
