,artist,title,text
0,lil wayne,3 peat,"Yessir! They can't stop me, even if they stopped me
I'm on it, ooh, I'm on it
I'm so on it, and however you want it
You can get it tonight ho, and all night ho
I get the beat from (Maestro), fuckin' right ho

I might go crazy on these niggas, I don't give a motherfuck
Run up in a nigga house and shoot his grandmother up
What! What! I don't give a motherfuck
Getcha baby kidnapped and ya baby-mother fucked
It's Tha Carter III, bitch, better put your supper up
Hollygrove I throw it up like I'm trying to lose my gut
Fuck is up? Beat him up like a million uppercuts
Got a million duffled up for the fuck of it, shit
Get on my level? You can't get on my level
You would need a space shuttle or a ladder that's forever
However, I'm better, if not now then never
Don't you ever fix your lips unless you 'bout to suck my dick, bitch!
Swallow my words, taste my thoughts
And if it's too nasty, spit it back at me
Two more inches, I'd have been in that casket
According to the doctor, I could have died in traffic
Bounce right back on them bitches like Magic
Abracadabra, I'm up like Viagra
I just do this shit for my clique like Adam Sandler
I control hip-hop and I'ma keep it on my channel

Watch me, bitch, watch me
Bitch watch me! But they cannot see me
Like Hitler, it's the New Orleans Nightmare
Money so old, it's growing white hair
Young Money, baby, yeah we right here
I'ma make sure we ball 'til we fall like tears
And mama, don't cry, your son can handle his
I got her out the hood and put her in the hills

Yeah, when I was 14, I told my mom we will see better days
And sure enough I got Miss Cita in a better place
When I was 14, I told my mom we will see better days
And sure enough, we did exactly what I say
I told my girl, ""When you fuck me, better fuck me good
'Cause if another girl could, she gon' fuck me good""
No sitting at the table if you bringing nothing to it
And I get straight to it like it's nothing to it
Yeah, I got game like Stuart Scott
Fresh out the ESPN shop
And when SportsCenter poppin', everything stoppin'
But you can't fool me, I know what you watching
Me! You watch me, you watch me, 'cause I be
Weezy, must see, TV, C3
Nigga that's me and I'm me, I'm me times three
So retreat or suffer defeat
I'm back, 3-peat, C3"
1,lil wayne,mr carter,"Yo
Yo, Drew and Inf', did this, this right here is crazy
I feel big, you know what I mean?
Like not-not big in the sense of weight, you know what I mean?
Like gainin' weight or nothin' like that, like colossal
Like, know what I mean, like
I heard you were lookin' for me

Hey, Mr. Carter, Mr. Carter (hello)
Tell me, where have you been? Where have you been? (You know)
'Cause they've been asking, they've been searching
They've been wondering why (I know)
Hey, Mr. Carter, Mr. Carter (hey, hello)
Tell me, where have you been? Where have you been? (Shit, you know)
'Cause they've been asking, they've been searching
They've been wondering why (hahaha)

Yeah, to you forever, from me to you
I heard somebody say ""Church"", I'ma need a suit
I'ma need a coupe, I won't need a roof
Flyer than Beetlejuice, Beetlejuice, Beetlejuice
I got the flow, I'm tryin' to see the roof
Didn't wear a bulletproof, so I got shot and you can see the proof
Blind eyes could look at me and see the truth
Wonder if Stevie do? But I'ma leave it to
God, not Beaver, neither you
'Cause I'ma murder Y, kill O and even U
Man, I got Summer hatin' on me 'cause I'm hotter than the Sun
Got Spring hatin' on me 'cause I ain't never sprung
Winter hatin' on me 'cause I'm colder than y'all
And I will never, I will never, I will never fall
I'm being hated by the seasons
So fuck y'all who hatin' for no reason

Hey, Mr. Carter, Mr. Carter (I am him)
Tell me, where have you been? Where have you been? (Around the world and I'm back again)
'Cause they've been asking, they've been searching (Who's been asking 'bout me?)
They've been wondering why (in case you wonderin')
Hey, Mr. Carter, Mr. Carter (I am him)
Tell me, where have you been? Where have you been? (Around the world and I'm back again)
'Cause they've been asking, they've been searching (Who's been asking 'bout me?)
They've been wondering why (in case you wonderin')

Yeah, I been in and out the bank, bitch
While y'all asshole niggas been on the same shit
I flush and watch 'em go down the drain quick
Two words you never hear ""Wayne quit""
'Cause Wayne win and they lose
I call them April babies, 'cause they fools
And when they snooze, we up
Feet up, like a parapleguc
Or paraplegic? I parallel park
In that red-and-yellow thing, old school Atlanta Hawk
Like I'm from College Park, but I'm from Hollygrove
Now all my Bloods scream ""Su-Woo and ""Da-da-do""
I know my role and I play it well
And I weigh it well on my Libra scale
I suck a pussy, fuck a pussy, leave it there
Long hair, don't even care (Young!)

Hey, Mr. Carter, Mr. Carter (I am him)
Tell me, where have you been? Where have you been? (Around the world, now I'm back again)
'Cause they've been asking, they've been searching (Who's been asking 'bout me?)
They've been wondering why (in case you're wonderin')
Hey, Mr. Carter, Mr. Carter (I am him)
Tell me, where have you been? Where have you been? (Around the world, now I'm back again)
'Cause they've been asking, they've been searching (Who's been asking 'bout me?)
They've been wondering why (in case you're wonderin')

Chea, I'm right here in my chair with my crown and my dear
Queen B, as I share mic time with my heir
Young Carter, go farther, go further, go harder
Is that not why we came? And if not, then why bother?
Show no mercy in Murcielagos
So far from bein' the bastard that Marcy had fathered
Now my name's being mentioned with the martyrs
The Biggies and the Pacs and the Marleys and the Marcuses
Garvey, got me a molotov-cocktail flow
Even if you box well, can't stop the blows
Kaboom! The Roc Boy in the room
The dope boy I just came off the spoon
Also, I'm so fly I'm on auto-
Pilot, while guys just stare at my wardrobe
I see Euros, that's right, plural
I took so much change from this rap game, it's your go
(Hey Mr. Carter) Young

It's my go, yeah
And I'ma go so opposite of soft
Off the Richter, Hector, Camacho Man, Randy Savage
Far from average, above status-quo
Flow so pro
I know I ride slow, and when I pass they say
""What up, Killa?"" Man, stop bringin' up my past
And next time you mention Pac, Biggie or Jay Z
Don't forget Weezy, baby

Hey, Mr. Carter, Mr. Carter (Amen)
Tell me, where have you been? Where have you been? (Yeah)
'Cause they've been asking, they've been searching
They've been wondering why (haha)
Hey, Mr. Carter, Mr. Carter (I am him)
Tell me, where have you been? Where have you been? (Hova)
'Cause they've been asking, they've been searching (Weezy)
They've been wondering why (baby)

Hey, Mr. Carter, Mr. Carter
Tell me, where have you been? Where have you been? (I been hustlin')
'Cause they've been asking, they've been searching (hustlin' hard)
They've been wondering why (chyeah)
Hey, Mr. Carter, Mr. Carter

And I swear to everything, when I leave this Earth
It's gon' be on both feet, never knees in the dirt
And you can try me, fucker, but when I squeeze, it hurt
Fine, we'll lose two lives, yours and mine
Give me any amount of time, don't let Ms. Carter grieve
At the funeral parlor, drippin' tears down my sleeve
Give me any amount of time, don't let Ms. Carter grieve"
2,lil wayne,a milli,"Young Money! You dig? Mack I'm going in

A millionaire
I'm a Young Money millionaire, tougher than Nigerian hair
My criteria compared to your career just isn't fair
I'm a venereal disease like a menstrual bleed
Through the pencil I leak on the sheet of the tablet in my mind
Cause I don't write shit cause I ain't got time
Cause my seconds, minutes, hours go to the almighty dollar
And the almighty power of that ch-cha-cha-chopper
Sister, brother, son, daughter, father, mother-fuck a copper
Got the Maserati dancing on the bridge, pussy popping
Tell the coppers ha-ha-ha-ha, you can't catch 'em, you can't stop 'em
I go by them goon rules, if you can't beat 'em then you pop 'em, you can't man 'em then you mop 'em, you can't stand 'em then you drop 'em
You pop 'em cause we pop 'em like Orville Redenbacher

Mothafucka, I'm ill

A million here a million there
Sicilian bitch with long hair, with coke in her derriere
Like smoke in the thinnest air, I open the Lamborghini
Hoping them crackers see me like look at that bastard Weezy
He's a beast, he's a dog, he's a mothafuckin' problem
Okay, you're a goon but what's a goon to a goblin?
Nothing, nothing, you ain't scaring nothing
On some faggot bullshit, call 'em Dennis Rodman
Call me what you want, bitch, call me on my Sidekick
Never answer when it's private, damn I hate a shy bitch
Don't you hate a shy bitch? Yeah, I ate a shy bitch
And she ain't shy no more, she changed her name to My Bitch
Yeah, nigga, that's my bitch, so when she ask
For the money when you through, don't be surprised, bitch
It ain't trickin' if you got it
But you like a bitch with no ass: you ain't got shit
Motherfucka I'm ill, not sick and I'm okay, but my watch sick
Yeah, my drop sick, yeah, my Glock sick, and my knot thick, I'm it

Mothafucka, I'm ill

They say I'm rapping like B.I.G, Jay, and 2Pac
André 3000, where is Erykah Badu at? Who that?
Who that said they gon' beat Lil' Wayne?
My name ain't Bic, but I keep that flame, man
Who that one that do that boy, you knew that, true that, swallow
And I be the shit, now you got loose bowels
I don't O U like two vowels
But I would like for you to pay me by the hour
And I'd rather be pushing flowers
Than to be in the pen sharing showers
Tony told us this world was ours
And the Bible told us every girl was sour
Don't play in her garden and don't smell her flower
Call me Mr. Carter or Mr. Lawn Mower
Boy, I got so many bitches like I'm Mike Lowrey
Even Gwen Stefani said she couldn't doubt me
Mothafucka, I say life ain't shit without me
Chrome lips poking out the coupe, look like it's pouting
I do what I do and you do what you can do about it
Bitch, I can turn a crack rock into a mountain, dare me
Don't you compare me cause there ain't nobody near me
They don't see me but they hear me, they don't feel me, but they fear me
I'm illy, C3, 3 Peat"
3,lil wayne,got money,"Yeah, yeah!
I need a Winn-Dixie grocery bag full of money (whoo!)
Right now to the VIP section (whoo!)
You got Young Mula in the house tonight, baby (yeah!)
Yeah, haha, yeah, Young (ay-hey)
Young, Young, Young, Young Mula baby!

If you got money (yeah) and you know it (yeah)
Then take it out your pocket and show it then throw it like
(Fly!) This-a-way (fly!) that-a-way
(Fly!) This-a-way (fly!) that-a-way
If you getting mugged from everybody you see
Then hang over the wall of the VIP like
(Fly!) This-a-way (fly!) that-a-way
(Fly!) This-a-way (fly!) that-a-way

Now I was bouncing through the club
She love the way I diddy-bop
I see her boyfriend hatin' like a city cop
Now I ain't never been a chicken but my fifty cocked
Say I ain't never been a chicken but my semi cocked
Now where your bar at? I'm tryna rent it out
And we so bout it bout it, now what are you about?
DJ showin love he say my name when the music stop
""Young Money, Lil Wayne"" then the music drop
I make it snow, I make it flurry
I make it all back tomorrow, don't worry
Yeah, it's young Wayne on the hoes
A.K.A Mr. Make-It-Rain-On-Them-Hoes
Young Money

If you got money (yeah) and you know it (yeah)
Then take it out your pocket and show it then throw it like
(Fly!) This-a-way (fly!) that-a-way
(Fly!) This-a-way (fly!) that-a-way
If you getting mugged from everybody you see
Then hang over the wall of the VIP like
(Fly!) This-a-way (fly!) that-a-way
(Fly!) This-a-way (fly!) that-a-way

It go one for the money, two for the show
Now clap your hands if you got a bank roll (Chris)
Like some clap on lights in this bitch
I'mma be clappin all night in this bitch
Lights off, mask on
Creep silent, she smiling
He muggin, who cares
Cause my goons, are right here
Like it's nothing, to a big dog
And I'm a Great Dane, I wear 8 chains
I mean so much ice, they yell, ""Skate, Wayne!""
She wanna fuck Weezy but she wanna rape Wayne
(And I'mma let her)

If you got money (yeah) and you know it (yeah)
Then take it out your pocket and show it then throw it like
(Fly!) This-a-way (fly!) that-a-way
(Fly!) This-a-way (fly!) that-a-way
If you getting mugged from everybody you see
Then hang over the wall of the VIP like

Okay, it's young Wayne on these hoes
A.K.A Mr. Make-it-Rain-On-Them-Hoes
Like ayyy! And everybody say
Mr. Rainman can we have a rainy day?
Bring an umbrella, please bring an umbrella
'Ella, 'ella, 'ella, ayyy!
Bitch ain't shit but a ho and a trick
But you know it ain't trickin if you got it
You know we ain't fuckin if you not thick
And I'll cool your ass down if you think you're hot shit
So Rolex watch this, I do it, four, five, six
My click-clack goes the black four-fifth
And just like it I'll blow that shit
Cause bitch I'm the bomb like tick, tick
BIATCH!

If you got money (yeah) and you know it (yeah)
Then take it out your pocket and show it then throw it like
(Fly!) This-a-way (fly!) that-a-way
(Fly!) This-a-way (fly!) that-a-way
If you getting mugged from everybody you see
Then hang over the wall of the VIP like
(Fly!) This-a-way (fly!) that-a-way
(Fly!) This-a-way (fly!) that-a-way

Yeah, it's young Wayne on the hoes
AKA Mr. Make-It-Rain-On-Them-Hoes
Yeah, young Wayne on the hoes
Make a stripper fall in love, T-Pain on them hoes
Uh-huh... um, Young Mula baby"
4,lil wayne,phone home,"This is, this is, this is, this is
We are not the same, I am a Martian
We are not the same, I am a Martian
Greetings from Planet Weezy
We will begin transmission in 5, 4, 3, 2, 1

Phone home! Weezy
Phone home! Weezy
Phone home! Weezy
Phone home! Weezy
And if you feel like you're the best
Go 'head and do the Weezy-We, and
Phone home! Weezy
Phone home! Weezy

We are not the same, I am a Martian
And I'm hotter than summer rain like Carl Thomas
Lock, load, ready to aim at any target
I could get your brains for a bargain like I bought it from Target
Hip hop is my supermarket
Shopping cart full of fake hip hop artists
I'm starving, sorry, I gotta eat all it
And I'll be back in the morning

Phone home! Weezy
Phone home! Weezy
Phone home! Weezy
Phone home! Weezy
And if you feel like you're the best
Go 'head and do the Weezy-We, and
Phone home! Weezy
Phone home! Weezy

We are not the same, I am a alien
Like Gonzales, young college
Student, who done just flipped the game like Houston
I'm used to promethazine in two cups, I'm screwed up
And you ain't shit if you ain't never been screwed up
Flow so sick make you wanna throw your food up
Ice water chest, and my wrist like a cool cup
Two twin clippers, I give your ass a crew cut
I get bread like cold cuts, you know what?
Your girl go down fast, come up slow, but I never slow up
Weezy!

Phone home! Weezy
Phone home! Weezy
Phone home! Weezy
Phone home! Weezy
And if you feel like you're the best
Go 'head and do the Weezy-We, and
Phone home! Weezy
Phone home! Weezy

They don't make 'em like me no more
Matter of fact, they never made it like me before
I'm rare, like Mr. Clean with hair
No brake lights on my car rear
I never had lice and I never had fear
I rap like I done died and gone to heaven, I swear
And yeah, I'm a bear, like black and white hair, so I'm polar
And they can't get on my system 'cause my system is the solar
I am so far from the othars, I meant others
I just eat them for supper, get in my spaceship and hover, hover

Phone home! Weezy
Phone home! Weezy
Phone home! Weezy
Phone home! Weezy
And if you feel like you're the best
Go 'head and do the Weezy-We, and
Phone home! Weezy
Phone home! Weezy"
5,lil wayne,shoot me down,"Open up your hearts people
Page one chapter one verse muthaf***in' one

Yeah uh huh I'm drinkin' hot tea b****, feel me

Yeah now if you let me
You wont regret me
S*** if you let me
You wont forget me,
Remember, and if you don't then mind the,
Hold up bah bah! There's a reminder
I ain't kind hot I'm sauna
I sweat money and the bank is my shower
Ha ha and that pistol is my towel
Ha so stop sweatin' me coward
And I would
Die for ours ride
For ours
Supply the flowers
This is history in the making
Now shut the f*** up and let me make it

Please don't shoot me down cause I'm flyin' I'm flyin'
I'm high-up
Please don't me down cause I'm flyin' I'm high up
(This tea is at a real good temperature right now, so am I)

I spit Alcatraz bars I know
And d-boys is the only alphabet boys I know
Gotta 3-80 on my waist and Rambo at home
No more bandanna round my dome bandanna in my right pocket
B**** I'm grown f*** what you on
Now watch me stand on the world as I sit in a throne
And if I jump I'm a fly and look into the eagles eye
And see I am nothin' like you, why?
B**** see, it gets me how nothing gets me or get to me
And if you shootin' for the star than just shoot me
But your bullets don't reach mars
Pause, clause, because I'm a a beast I'm a dog ill get'cha
My picture should be in the dictionary
Next to the definition of definition
Because repetition is the father of learnin'
And son I know your barrel burnin' but

Please don't shoot me down cause I'm flyin' I'm flyin'
I'm high-up
Please don't me down cause I'm flyin' I'm high up
(This tea is at a real good temperature right now, so am I)

Pappa I did it to em, I'm a bastard
And I'm a do it again like n**** backwards
These n****s backwards but they behind us
Now watch me get high like times up
Now D bring the drums back
And watch me hit em' where there lungs sat like that
I get respect cause if I don't I'm a take it
I see your boys hatin' and I see your girls naked
Drum sound like a naked gun switch clips with my thumb
Then I pop another clip in and aim at his vision
Cause Wayne is his vision cause Wayne is the mission
I'm aimin' at a mirror

Please don't shoot me down cause I'm flyin' im flyin'
(And I've done it before, please don't make me do it no more)
I'm high-up
Please don't me down cause I'm flyin' I'm high up
(Watch me soar, where the f*** is my guitar, now roar)"
6,lil wayne,tie my hand,"We are at war
With the universe
The sky is falling
And the only thing that can save us now
Is sensitivity and compassion
But I know one thing's for sure
I'm gonna get my kicks before it all burns down

Yeah, some say tragedy is hard to get over
But some time that tragedy means its over, soldier
From the academy league of rollers
I deny being down though they seem to hold us
My shoulders are strong, I prove them wrong
I ain't doing nothing but moving on, let the truth be known
But they talk that freedom at us and didn't even leave a ladder, damn

I work at the corner store
We all got problems problems
No one's gon' fight alone
No one's gon' save us now
How you feel? you're not alone
We're all just jealous, jealous
We don't reach the sky no more
We just can't overcome no

You tie my hands
What am I gonna be
What have I done so bad
What is my destiny
You tie my hands
What am I supposed to see
What have I done so bad
What am I gonna be

I, knock on the door, hope isn't home
Fates not around, the lucks all gone
Don't ask me whats wrong, ask me whats right
And I'mma tell you what's life?
And did you know?
I lost everything, but I ain't the only one
First came the hurricane, then the morning sun
Excuse me if I'm on one, and don't trip if I light one, I walk a tight one
They try to tell me keep my eyes open
My whole city under water, some people still floating
And they wonder why black people still voting,
Cause your president's still choking
Take away the Football team, the Basketball team
Now all we got is me to represent New Orleans, shit
No governor, no help from the mayor
Just a steady beating heart, and a wish and a prayer
Lets pray

These friends they come and go
But I got family family
These kids so fast they grow
They learn so quickly now
But there's no where to go,
But there's future future
Don't make this seem so low
And we can't overcome

You tie my hands
What am I gonna be
What have I done so bad
What is my destiny
You tie my hands
What am I supposed to see
What have I done so bad
What am I gonna be

And if you come from under that water then there's fresh air
Just breathe baby, Gods got a blessing to spare
Yes, I know the process has so much stress
But its the progress that feels the best
Cause I came from the projects straight to success
And your next, so try they cant steal your pride its inside
Then find it and keep on grinding
Cause in every dark cloud there's a silver lining
I know...
Yeah, yeah... yeah
See... right now we just riding on love
And shine in the dark, we ain't tryna do nothing be at the heart
We need love, that's all now

You tie my hands
What am I gonna be
What have I done so bad
What is my destiny
You tie my hands
What am I supposed to see
What have I done so bad
What am I gonna be
You tie my hands
What am I gonna be
What have I done so bad
What is my destiny
You tie my hands
What am I supposed to see
What have I done so bad
What am I gonna be

Born right here in the USA
But due to tragedy, looked on by the whole world as a refugee
So, accept my emotion, do not take it as an offensive gesture
It's just the epitome of my soul
And I must be me
We got spirit y'all
We go spirit
We got soul y'all
We got soul
They don't want us to see, but we already know"
7,lil wayne,lollipop,"Ow, uh-huh, no homo (Young Mula, baby)
I said, ""He's so sweet, make her wanna lick the wrapper""
So I let her lick the rapper

She-she-she lick me like a lollipop (yeah)
She-she lick me like a lollipop, lollipop (yeah)
Sh-sh-she lick me like a lollipop, lollipop (yeah)
She-she lick me like a lollipop

Shawty want a thug
Bottles in the club
Shawty wanna hump
You know I like to touch your lovely lady lumps
(She lick me like a lollipop)

Shawty want a thug
Bottles in the club
Shawty wanna hump
You know I like to touch your lovely lady lumps
(C'mon, yeah)

Okay, lil' mama had a swag like mine (yeah)
She even wear her hair down her back like mine (yeah)
I make her feel right when it's wrong like lyin'
Man, she ain't never had a love like mine (yeah)
But man, I ain't never seen an ass like hers
That pussy in my mouth had me lost for words
So I told her to back it up, like berp berp
And I made that ass jump, like jerp jerp
And that's when she

She-she-she lick me like a lollipop (oh yeah, I like that)
She-she lick me like a lollipop, lollipop (oh yeah, I like that)
Sh-sh-she lick me like a lollipop, lollipop (yeah)
She-she lick me like a lollipop

Shawty want a thug (shawty want a thug)
Bottles in the club (bottles in the club)
Shawty wanna hump
You know I like to touch your lovely lady lumps

Shawty want a thug (I like that)
Bottles in the club (hey, I like that)
Shawty wanna hump
You know I like to touch your lovely lady lumps

Okay, after you back it up, then stop
Drop it, shawty
Drop it like it's hot
Drop-drop it like its hot
Do-do-do it shawty, don't stop

Shawty said the nigga that she with ain't shit (yeah)
Shawty said the nigga that she with ain't this (yeah)
Shawty said the nigga that she with can't hit (yeah)
But, shawty, I'ma hit it, hit it, like I can't miss
And he can't do this and he don't do that
Shawty need a refund, need to bring that nigga back
Just like a refund I make her bring that ass back
And she bring that ass back, because I like that

Shawty want a thug (yeah, I like that)
Bottles in the club (yeah, I like that)
Shawty wanna hump
You know I like to touch your lovely lady lumps (yeah)

Shawty wanna lick, lick, lick, lick, lick me like a lollipop
I said, shawty wanna lick, lick, lick, lick, lick me like a lollipop
Shawty wanna lick me like a lollipop
(So I let her lick the rapper) she-she lick me like a lollipop

Shawty want a thug (shawty want a thug)
Bottles in the club (bottles in the club)
Shawty wanna hump (shawty wanna hump)
You know I like to touch your lovely lady lumps, stat

Call me, so I can make it juicy for ya
Call-ca-call me, s-so I can get it juicy for you
Call-ca-call me, s-so I can make it juicy for ya
Call-call me, s-so I can get it juicy for ya
Call-call me, so I can make it juicy for ya
Call-ca-call me, s-so I can get it juicy for you
Call-ca-call me, s-so I can make it juicy for ya
Call-call me, s-so I can get it juicy for ya

Shawty want a thug (I like that)
Bottles in the club (yeah, I like that)
Shawty wanna hump
You know I like to touch your lovely lady lumps

I say, shawty want a thug
Bottles in the club
Shawty wanna hump
You know I like to touch your lovely lady lumps

I get her on top, she drop it like it's hot
And when I'm at the bottom, she Hilary Rodham
Middle of the bed, give and gettin' head
Give and gettin' head, give and gettin' head
I said hmm, mmm (I like that)
Said hmm, mmm, mmm (yeah, I like that)
I said hmm, mmm, mmm (yeah, I like that)
Mm-hm

Call me, so I can come and do it for you
Call me, so I can come and prove it for you
Call me, so I can make it juicy for you
Call me, so I can get it juicy for you

Shawty wanna lick, lick, lick, lick, lick me like a lollipop
She-she lick me like a lollipop, l-lollipop
I said he's so sweet, make her wanna lick the wrapper
(What you do?) So I let her lick the rapper"
8,lil wayne,let the beat build,"Yeah
I see you big bro
I'ma kill these niggas, man
Yeah (haha)

Straight off the block wit' it
Eagle Street to be specific
I'm peepin' at your people different
I pay my dues, you keep the difference
I can see the end in the beginning
So I'm not racing, I'm just sprintin'
'Cause I don't wanna' finish
They diminish, I replenish
Scientific, I'm out this world, ho
I wear bright red, like a girl toe
No homo, fingernails dirty
I've been counting dirty money since 12:30
A-M, weight them
If they short, take them right back and spray him, amen
Yeah, I just do my Wayne
And every time I do it, I do my thing, yeah
Believe that like a true story
Rims big, make the car look like it's two stories
If I hop out, that'd be suicide
No back seats, call that paralyze
I don't have a spine, I don't fantasize
I mastermind then go after mine
You see I handle mine, I dismantle mine
I told her tool box ""Bitch, it's Hammer-time""
So excuse me as I nail 'em to something
Just repel 'em, I'ma kill 'em
Someone tell 'em I'ma kill 'em
I'm gon' fill 'em up, his momma can't tell 'em
And the doctors can't heal 'em, I'ma kill 'em
And yeah, we sell 'em, I know you smell 'em
And if you want it, you could just yell it
And it be in the morning at your telly
Whole keys go for twenty, half a key go for eleven
After me, there will be nothing
I am legend and I will Smith
Now that's how you let the beat build, bitch

That's how you let the beat build, bitch
Now that's how you let the beat build, bitch
Let the beat build, bitch
And the beat go boom
B-boom-ba-boom
Boom, b-boom-ba-boom
It go, boom b-boom-ba-boom
Now say (yeah, yeah, yeah)

Come on
Just a snare and a 808
Weezy baby on the mic, D.O.A.
OK, I'd like to thank Kanye
And my nigga Deezle from giving me this diesel
Like an F-350, tank never empty
Damn, everybody in the bank act friendly
Used to think my shit didn't stink, boy, was I wrong
Approving million dollar deals from my iPhone
I'm a take it one two way back
Like a silk wife beater and a wave cap
Or the wave pool at Blue Bayou
And I waved, fool, as I blew by you
Hello, hi, you, I can buy you
But I wouldn't try you, feed you to Piru
I know what I'm doin', I show and prove and show improvement
And I know just to go into it
Could never amount to going through it
Whatever or how you wanna do it
We can do it like we late, ay, wait
Deezle, let me just get the 808
As I hit the kill switch
Now that's how you let the beat build, bitch

That's how you let the beat build, bitch
That's how you let the beat build, bitch
Let the beat build, bitch
And the beat go boom
B-boom-ba-boom
It go boom, b-boom-ba-boom
The beat go boom
B-boom-ba-boom
Now everybody say (yeah, yeah, yeah)

And I am the best rapper alive
I am the best rapper alive
And I will eat you alive
Think I'm lying?
Damn, I get in a nigga chest like bunch a phlegm
Like a fuckin' ram, I'ma hunt for the lamb
I'ma dump 'em, man, in a dumpster can
You ain't a soldier, ask Uncle Sam
Hair nappy like Pam, nigga, fuck your plan
Fuck your man
You ain't a pimp unless you get the same bitch
To fuck your man and fuck your clan
And all my bitches know that's my plan
Oh, goddamn, there's my sample playin' likes that's my band
Gotta get it cleared
Suck my dick with red lipstick and don't let it smear
And I got a lot of tattoos and I meant every tear
And I'm still on that street shit
Back to the beat, bitch

That's how you let the beat build, bitch
Now that's how you let the beat build, bitch
Let the beat build, they say
And the beat go boom
B-boom-ba-boom
It go boom, b-boom-ba-boom
The beat go boom
B-boom-ba-boom
Now everybody say (yeah)
And the beat go boom
B-boom-ba-boom
It go boom, b-boom-ba-boom
The beat go boom
B-boom-ba-boom
Now say (yeah, yeah, yeah)"
9,lil wayne,mrs officer,"Hey...
Hey... (yeah)
Hey... (yeahh)
Hey, hey, hey
Valentine woo, woo, wooo... (yeah, yeahh)... yea, yea, yeaa
(Yeah, yeahh) woo, woo, wooo... (yeah)... yea, yea, yeaa
(Yeahh) woo, woo, wooo... yea, yea, yeaa
(Yeahh) woo, woo, (yeahh) wooo... (Bobby Valentino)

When I get up all in ya (yeah)
We can hear the angels calling us (chea)
We can see the sunrise before us (yeah)
And when I'm in that thang, I'll make that body sang
(Diesel on the beat) I make it say...
Wee ooh wee ooh wee (ay)
Wee ooh wee ooh wee (ay)
Wee ooh wee ooh wee
(Like a cop car)
Wee ooh wee ooh wee
Wee ooh wee ooh wee (ay)
Wee ooh wee ooh wee (hahaha)...
I'll make ya say...

... doing a buck in the latest drop
I got stopped by a lady cop
Ha ha... she got me thinking I can date a cop
Ha ha... cause her uniform pants are so tight
She read me my rights
She put me in a car, she cut off all the lights
She said I had the right to remain silent
Now I got her hollering sounding like a siren
Talkin' bout...
(Wee ooh wee ooh wee) yea
(Wee ooh wee ooh wee) yea
(Wee ooh wee ooh wee) yea
And I know she the law and she know I'm the boss
And she know I get high a-bove the law
And she know I'm raw, she know it from the street
And all she want me to do is fuck the police
Talkin' bout...
(Wee ooh wee ooh wee)
(Wee ooh wee ooh wee) yea
(Wee ooh wee ooh wee) yea

When I get up all in ya
We can hear the angels calling us (yeaa)
We can see the sunrise before us (hmm)
And when I'm in that thang, I'll make that body sang
I make it say...
Wee ooh wee ooh wee
Wee ooh wee ooh wee (yea)
Wee ooh wee ooh wee
(Like a cop car)
Wee ooh wee ooh wee
Wee ooh wee ooh wee (yeah)
Wee ooh wee ooh wee (hey)
I'll make ya say...

Ha ha... and after we got done
I said lady what's ya number she said 911
Haaa... emergency only
Head doctor perform surgery on me
Yeahh... and now I'm healed
I make her wear nothing but handcuffs and heels
Then I beat it like a cop
Rodney King baby yeah I beat it like a cop
Ha haaa... beat it like a cop
Rodney King baby said beat it like a cop
But I ain't tryna be violent
But I'll do the time but her love is timeless
Mrs. Officer...
I know you wish ya name was Mrs. Carter huh?
(Wee ooh wee ooh wee)
(Wee ooh wee ooh wee) yeah
(Wee ooh wee ooh wee)
Like a cop car...

When I get up all in ya
We can hear the angels calling us
We can see the sunrise before us
And when I'm in that thang, I'll make that body sang
I make it say...
Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
I'll make ya say...

Mrs. Officer, Mrs. Officer
Tell your lieutenant get them cuffs off of ya
I'm Kidd Kidd... my face on every wanted poster
I'm wanted by every lady cop all over
That ass so big I catch a battery to hold ya
Hands so big you thought I told ya to pull it over
She pulled me over... pulled me out the Rover
Then she pulled me closer... do me in the back of the car
Put me in handcuffs start ripping my pants off
(All you heard on the dispatcher was...)

Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
When I get up all in ya
We can hear the angels calling us
We can see the sunrise before us
And when I'm in that thang, I'll make that body sang
I make it say...

Maybe you can lock me up and throw away the key
Call your sergeant and tell him you can't finish your shift
Cause it's on... tonight
Breakfast in bed turns to breakfast and head
And I can't wait to get it on
Wanna do it all night long... Mrs. Officer

When I get up all in ya
We can hear the angels calling us
We can see the sunrise before us
And when I'm in that thang, I'll make that body sang
I make it say...
Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
Wee ooh wee ooh wee
I'll make ya say..."
