,artist,title,text
0,miki nunez,celebrate,"Hoy, ya sķ, que debo regalarme
Todo aquello que no hice por gustarme
Hoy mi rumbo es, mi coraz¾n
Hoy, ya sķ, que debo escucharme
Decirme todo lo que no me ha dicho nadie
Quien te ha dado vela en este entierro?

Si tu no estas de acuerdo (Dķjame)
AquĒ tienes un recuerdo (Para quķ)
Pa' que trates de olvidarme
Y no mueras en el intento

Voy a bailar sin freno, para curar mi herida
Voy a cantar sin miedo esta canci¾n
Voy a gritar al cielo y celebrar la vida
Quiero cantar contigo esta canci¾n

SĒ, ya sķ, que no soy don perfecto
Pero tampoco hemos venido a esto
Soy el rey de mi, reino interior
Y me escribo a coraz¾n abierto
No me da miedo ense±arte mis defectos
Mis cicatrices me hacen ser lo que soy

Si tu no estas de acuerdo (Dķjame)
AquĒ tienes un recuerdo (Para quķ)
Pa' que trates de olvidarme
Y no mueras en el intento

Voy a bailar sin freno, para curar mi herida
Voy a cantar sin miedo esta canci¾n
Voy a gritar al cielo y celebrar la vida
Quiero cantar contigo esta canci¾n

Eh, estoy tranquilo
Soy mßs frßgil que una copa de vino
Ese vino que tu bebes pa' olvidar
Que por mucho que te bebas no te va a salvar
Eh, estoy tranquilo
Soy mßs fuerte de lo que me imagino
Trae esa copa pa' brindar
Y que sea solo pa' celebrar

Voy a bailar sin freno, para curar mi herida
Voy a cantar sin miedo esta canci¾n
Voy a gritar al cielo y celebrar la vida
Quiero cantar contigo esta canci¾n
Voy a gritar al cielo y celebrar la vida
Quiero cantar contigo esta canci¾n

Quiero cantar contigo esta canci¾n"
1,miki nunez,eterno verano,"EmpezarŪa con con un ""me levantů""
Pero no tengo energŪa para tanto
Un verano no se mide en grados
Sino en planes improvisados

En mayo, manga corta
Aplatanada hasta en la sombra
No soy vago, soy persona
Y a cuarenta grados, una casi sopa

Andando por la orilla
Esquivando las colillas
MatarŪa por una cerveza frŪa
Tarareando melodŪas

Vivo en un eterno verano
Muero al levantarme tan temprano
Vivo en un eterno verano
No hacer nada, ya es demasiado

Pegajoso por la crema
Tengo arena hasta en la oreja
Ningķn mensaje en esa botella
Y es que no quedan islas desiertas

Jugando a palas contando los toques
No llego a diez, soy un poco torpe
Pensando en nada, poniendo orden
Voy mirando el horizonte

Se ha calentado la sandŪa
Ese chiringuito me deja en la ruina
MatarŪa por una sangrŪa frŪa
Tarareando melodŪas

Vivo en un eterno verano
Muero al levantarme tan temprano
Vivo en un eterno verano
No hacer nada, ya es demasiado

Esto es el apocalŪpsis
Me he quemado como un guiri
He empezado la dieta del kiwi
Como de todo menos kiwi

Esto es el apocalŪpsis
Me he quemado como un guiri
He empezado la dieta del kiwi
Como de todo menos kiwi

Vivo
Pa ra pa pa ra pa ra pa ra
Muero
Pa ra pa pa ra pa ra pa ra
Vivo
Pa ra pa pa ra pa ra pa ra
No hacer nada
Pa ra pa pa ra pa ra pa ra

Vivo en un eterno verano
Muero al levantarme tan temprano
Vivo en un eterno verano
No hacer nada ya es demasiado

Vivo en un eterno verano
Muero al levantarme tan temprano
Vivo en un eterno verano
No hacer nada ya es demasiado

Vivo
Muero
Vivo en un eterno verano
No hacer nada ya es demasiado

Vivo en un eterno verano"
2,miki nunez,nadie se salva,"Nadie se salva

Nadie se salva

Mira, yo no quiero alarmarte
No quiero llorarme
Pero pasará
Mira, si en el fondo lo sabes
Forma parte del viaje
¿Pa' qué aguantar?

Hay una prisión dentro de ti
Y no la quieres ver
Tú quieres creer
Que eres la ley
Y no lo ves

Puede que mañana te pueda llegar
Puede que mañana te pueda llegar
Puede que mañana te pueda llegar
Hey

Nadie se salva

Nadie se salva

Mira, que ya no quiero
Ser esclavo de mis propios pensamientos
Quiero correr y que nada me detenga
Quiero ser libre, la gente es mi bandera

Mira, que ya no quiero
Esconderme cuando llegue el invierno
Solo si cantamos, levanta las manos
Seremos juntos los que un día callaron

Va directa a ti y puede ser la última vez
No, no hay reloj
El tiempo es hoy
Cuídate bien

Puede que mañana te pueda llegar
Puede que mañana te pueda llegar
Puede que mañana te pueda llegar
Hey

Nadie se salva
Huah
Nadie se salva

Hoy no será, no, no
Hoy no será, no, no
Hoy no será
Nadie se salva pero hoy no será

Hoy te quedas hasta el final, no
Hoy te quedas hasta el final, no
Aquí nadie se salva, no
Nadie se salva"
3,miki nunez,per tu,"Quan s'enfonsa tot
Surten flors de las esquerdas
Els teus plors I els meus humitegen
Aterrant la nostÓlgia del moment
Vivim amb por de perdre
El teu foc I el meu
Fan l'amor a la guerra

Si vas fins a l'ultim fanal
T'emportes el aire I aprens
Tant si hi es com si no hi es
El teu perfume etern
Tots els dies igualsQuan s'enfonsa tot
Surten flors de las esquerdas
Els teus plors I els meus humitegen
Aterrant la nostÓlgia del moment
Vivim amb por de perdre
El teu foc I el meu
Fan l'amor a la guerra

Si vas fins a l'ultim fanal
T'emportes el aire I aprens
Tant si hi es com si no hi es
El teu perfume etern
Tots els dies iguals
No m'acaban servint per res
Tant si vķ com si no vķ
Em serveix un tros de cel
Quan s'enfonsa tot
Surten flors de las esquerdas
Els teus plors I els meus fan l'amor a la guerra
La nostÓlgia del moment
Vivim amb por de perdre
El teu foc I el meu

Que les cendres de l'ahir ens han fet aixĒ
La remor va sentint cada cop que sento que visc
Quan ens toca allÓ al fons no som mķs que dos cors que caminen
Si s'estimen com mķs un cop que s'estima la vida

Per tu, per mi
Xotarem les pedres del camĒ
Per tu, per mi
Xotarem les pedres del camĒ
Per tu, per mi
Xotarem les pedres del camĒ
Per tu, per mi
Xotarem les pedres del camĒ

Per tu, per mi
Si s'estimen com mķs un cop que s'estima la vida
Per tu, per mi
Quan ens toca allÓ al fons no som mķs que dos cors que caminen

Quan s'enfonsa tot
Surten flors de las esquerdas
Els teus plors I els meus humitegen
Aterrant la nostÓlgia del moment
Vivim amb por de perdre
El teu foc I el meu"
4,miki nunez,coral del arrecife,"En esta isla de arena blanca y fina
He visto al mar destronar a tu sonrisa
He visto el miedo de el que salÿa a pescar
He sentido el poder del sol para escampar la brisa

Palmeras que me cubren la lluvia tropical
Caminos que me llevan hacia un lugar especial
Recuerdos en la playa, sentados en la arena
DespuÚs de tanto tiempo, solo me queda pensar

Que viene y va
Que este mundo es imprevisible
En tu mirar, me siento un poquito mßs libre
Quiero gritar
Decir que aquÿ no existe un lÿder
Nosotros somos uno, coral del arrecife

Que viene y va
Este mundo es imprevisible
En tu mirar, me siento un poquito mßs libre
Quiero gritar
Decir que aquÿ no existe un lÿder
Nosotros somos uno, coral del arrecife

Aquÿ tus ojos siempre son color coral
Y tu mirada ahora parece un festival
Instinto animal
Y disfrutar de cada sorbo de nuestra complicidad

Voy a seguir navegando entre dos aguas
Saboreando los colores de tu piel salada
Mira, quÚ felicidad
Que bonito ver bailar al sol con tu sonrisa

Que viene y va
Que este mundo es imprevisible
En tu mirar, me siento un poquito mßs libre
Quiero gritar
Decir que aquÿ no existe un lÿder
Nosotros somos uno, coral del arrecife

Que viene y va
Este mundo es imprevisible
En tu mirar, me siento un poquito mas libre
Quiero gritar
Decir que aquÿ no existe un lÿder
Nosotros somos uno, coral del arrecife

Paraÿso de mi mente
Donde no hay ning·n mal
T· tambiÚn tienes el tuyo

Que viene y va
Que este mundo es imprevisible
En tu mirar, me siento un poquito mßs libre
Quiero gritar
Decir que aquÿ no existe un lÿder
Nosotros somos uno, coral del arrecife

Que viene y va
Que este mundo es imprevisible
En tu mirar, me siento un poquito mßs libre
Quiero gritar
Decir que aquÿ no existe un lÿder
Nosotros somos uno, coral del arrecife"
5,miki nunez,apaga la luz,"Apaga la luz
Prometo un beso de volcán
Ese lugar que arremetía contra el mar
Porque el miedo nos sentía
Porque no tenía edad

Quiero acariciar la vida
Quiero atravesar tu día
Quiero celebrar sin prisa
Quiero recibir poesía

Dame tu sur y te marido con azar
De ese lugar que se adivinaba en el andar
Porque nadie lo escribía
Porque solo había paz

Quiero acariciar la vida
Quiero atravesar tu día
Quiero celebrar sin prisa
Quiero regalar poesía

Y enamorar sin hacerte el amor
Y recibir de la luna y el sol
Y enamorar sin hacerte el amor
Y recibir de la luna y el sol, tú y yo

Deja que fluya
Deja que vaya
Y sea libre aquella calma
Y sencillo
Y que respire
Con menos brillo también se vive

Y enamorar sin hacerte el amor
Y recibir de la luna tú y yo

Quiero acariciar la vida
Y enamorar sin hacerte el amor
Quiero atravesar tu día
Y recibir de la luna y el sol
Quiero celebrar sin prisa
Y enamorar sin hacerte el amor
Quiero recibir poesías
Quiero acariciar la vida
(Quiero acariciar la vida)
Quiero atravesar tu día
(Quiero atravesar tu día)
Quiero celebrar sin prisa
(Quiero celebrar sin prisa)
Quiero regalar poesía
Quiero acariciar la vida"
6,miki nunez,la venda,"Te compran porque te vendes
Te vendes porque te sobras
Te pierdes porque hay camino
Te digo: hay otras cosas

Te sales porque te quieres
Te quieres, tu mente en forma
Te eliges porque hay camino
Te digo: hay otras cosas

La venda ya cayó y solo quedó la alegría
La venda ya cayó y empezarán nuevos díasTe compran porque te vendes
Te vendes porque te sobras
Te pierdes porque hay camino
Te digo: hay otras cosas

Te sales porque te quieres
Te quieres, tu mente en forma
Te eliges porque hay camino
Te digo: hay otras cosas

La venda ya cayó y solo quedó la alegría
La venda ya cayó y empezarán nuevos días
La venda ya cayó avivando fantasías
La venda ya cayó y serás como querías

Te rezas porque confías
Te sientes que ya tenías
Te vives, alto voltaje
Te traje buenas noticias

Te vales y ya no fuerzas
Te vives y te interesas
Te saltas, no quedan normas
Ahora, la vida loca

La venda ya cayó y solo quedó la alegría
La venda ya cayó y empezarán nuevos días
La venda ya cayó avivando fantasías
La venda ya cayó y serás como querías

Lo que ere, lo que ere, ere, ere, e
Lo que ere, lo que ere, ere, ere, e
Lo que ere, lo que ere, ere, ere, e
Lo que ere, lo que ere, ere, ere, e
Lo que ere, lo que ere, ere, ere, e
Lo que ere, lo que ere, ere, ere, e

La venda ya cayó y solo quedó la alegría
La venda ya cayó y empezaran nuevos días
La venda ya cayó avivando fantasías
La venda ya cayó y serás como querías"
7,miki nunez,tanto tiempo,"Los callejones de la calle mayor
Se hacen lentos a estas horas del día
Mientras las nubes despiertan todo huele a café
Hoy no es domingo y parece que sí
Que el cielo se nos va a aguantar sin lluvia
La gente anda deprisa y yo camino al revés

Mientras sigo esperando a que vuelvas
Sentado en la ventana
Le hablo al espejo de ti, me mira
Y me escucha sin protestar

Tanto tiempo
Demasiado
Tanto tiempo sin ti

En el periódico no hay nada mejor
Hoy el horóscopo me augura un buen día
Las necrológicas cuentan que hoy ya no moriré

Los astronautas siguen lejos de aquí
Y el pan hoy sube como si fuera espuma
Ya han estrenado la última de

Mientras sigo esperando a que llames
Tumbado en esta cama
La misma cama donde a escondidas hacíamos el amor

Tanto tiempo
żQué ha pasado?
Tanto tiempo sin ti

Tanto tiempo
Demasiado
Tanto tiempo sin ti"
8,miki nunez,la ultima palabra,"Una visi¾n que desespera
Por inhumana indiferencia
Una verdad que desordena
Por alta carga de disidencia

Algo me dice que estamos corriendo
Hacia ninguna parte de lo que quiero

Nanarananana nanaranananana
┐Por quķ es que estamos corriendo?
Nanarananana nanaranananana
Hacia caminos opuestos
Nanarananana nanaranananana
┐Por quķ es que estamos corriendo?
Nanarananana nanaranananana

Se han exiliado las ideas
Que parecĒan tan verdaderas
Con opiniones por banderas
Nadie se fĒa ni de su letra

Algo me dice que estamos corriendo
Hacia ninguna parte de lo que entiendo

Nanarananana nanaranananana
┐Por quķ es que estamos corriendo?
Nanarananana nanaranananana
Hacia caminos opuestos
Nanarananana nanaranananana
┐Por quķ es que estamos corriendo?
Nanarananana nanaranananana

Y lanzas tu titular queriķndome convencer
De que t· tienes lo que hay que tener
Y te rebotas al ver que no pensamos igual
Es el espejo en que te tienes que mirar
Tener la ·ltima palabra
No te va a dar la raz¾n

Nanarananana nanaranananana
┐Por quķ es que estamos corriendo?
Nanarananana nanaranananana
Hacia caminos opuestos
Nanarananana nanaranananana
┐Por quķ es que estamos corriendo?
Nanarananana nanaranananana
Hacia caminos opuestos"
9,miki nunez,la cabana,"Quiero construirte una cabańa
Que te arrope como el sol a las montańas
Quiero iluminar todos tus sueńos
Corre, vuela y ve a luchar por ellos
Entre todos construiremos esperanza
Un abrazo y destruiremos la arrogancia
Ayudame a cocer un mundo nuevo
Y el calor de una sonrisa
Que te llevará hasta el cielo

Y al mirarnos a los ojos
Y apretar fuerte las manos
Vamos a coger la fuerza
Para volver a levantarnos
Ahogaremos con canciones las miserias y dolores
Doblaremos las apuestas
Romperemos las cadenas
Gritaremos a los cuatro vientos
Que la vida es nuestra

Tus ojos siempre dicen la verdad
Esto solo acaba de empezar
Aunque dudes por las noches por millones de razones
De mi mano siempre podrás caminar

Y al mirarnos a los ojos
Y apretar fuerte las manos
Vamos a coger la fuerza
Para volver a levantarnos
Ahogaremos con canciones las miserias y dolores
Doblaremos las apuestas
Romperemos las cadenas
Gritaremos a los cuatro vientos
Que la vida es nuestra

Quiero construirte una cabańa
Que te arrope como el sol a las montańas
Quiero iluminar todos tus sueńos
Corre, vuela y ve a luchar por ellos"
